objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,Administrative ex,Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,disneycodenames.jpg,Disney Codenames,,,,,,,,,,,image/jpeg,,,
coll003,carcassonne.jpg,Carcassonne,,,,,,,,,,,image/jpeg,,,
coll004,parks.jpg,Parks,,,,,,,,,,,image/jpeg,,,
coll005,yokohama.jpg,Yokohama,Hayashi Hisashi,,,,,,,,,,image/jpeg,,,
coll006,villainous.jpg,Villainous,,,,,,,,,,,image/jpeg,,,
coll007,raceforthegalaxy.jpg,Race for the Galaxy,,,,,,,,,,,image/jpeg,,,
coll008,bananagrams.jpg,Bananagrams,,,,spelling;spatial_thinking,,,,,,,image/jpeg,,,
coll009,tcgcp.png,Taco Cat Goat Cheese Pizza,,,,,,,,,,,image/png,,,
coll010,duel.jpg,7 Wonders Duel,,,,,,,,,,,image/jpeg,,,
coll011,catan.jpg,Settlers of Catan,,,,,,,,,,,image/jpeg,,,
coll012,spiritisland.png,Spirit Island,,,Work together as the island's powerful native spirits to drive away colonial invaders.,,,,,,,,image/png,,,
coll013,everdell.png,Everdell,,,,,,,,,,,image/png,,,
coll014,chess.jpg,Chess,,,,,,,,,,,image/jpeg,,,
coll015,superbigboggle.jpg,Super Big Boggle,,,,,,,,,,,image/jpeg,,,
coll016,pandemic.jpg,Pandemic,,,,,,,,,,,image/jpeg,,,
coll017,sagrada.jpg,Sagrada,,,,,,,,,,,image/jpeg,,,
coll018,machikoro.png,Machi Koro,,,,,,,,,,,image/png,,,
coll019,planetx.jpg,The Search for Planet X,,2020,,,,,,,,,image/jpeg,,,
coll020,innovation.png,Innovation,,,,,,,,,,,image/png,,,
coll021,alittlewordy.jpg,A Little Wordy,,,,,,,,,,,image/jpeg,,,
coll022,foxintheforest.jpg,The Fox in the Forest,,,,,,,,,,,image/jpeg,,,
coll023,connectfour.jpeg,Connect 4,,,,,,,,,,,image/jpeg,,,